entity,count
div style,276
div id,276
table border,274
table cellpadding,274
table cellspacing,274
td valign,274
table width,273
p align,29
span style,7
a href,4
p class,4
p style,3
span lang,2
ul type,2
table size,1
a title,1
span class,1
a class,1
img src,1
li class,1
tr style,1
img alt,1
span msonormal,1
a id,1
table style,1
li style,1
td style,1
td width,1
table class,1
table font,1
