entity,count
a href,509
div id,509
div style,509
span class,493
a class,90
img alt,29
img src,29
a target,23
p align,21
a onclick,20
iframe width,1
iframe src,1
iframe height,1
iframe frameborder,1
iframe allowfullscreen,1
